PlayerId,PlayerName,Salary,PlayerPos,Default_Proj_Score,Proj_Mins,Team,Period,AwayTeam,HomeTeam,DateTime,Actual_Pts,Last_Sal,Proj_Score
1933,James Johnson,3500,SF,3.44,5.00,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,9.80,3700,3.44
3903,Tayshaun Prince,3500,SF,6.81,15.00,MIN,2015-11-20,DET,MIN,2015-11-20 200000,4.90,3500,6.81
1963,Jeremy Evans,3500,PF,3.79,5.33,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,0.00,3500,3.79
2025,Shabazz Muhammad,3500,SF,12.50,17.67,MIN,2015-11-20,DET,MIN,2015-11-20 200000,2.60,3500,12.50
1910,Anthony Tolliver,3500,PF,8.93,17.00,DET,2015-11-20,DET,MIN,2015-11-20 200000,4.40,3500,8.93
2048,Alonzo Gee,3500,SF,9.74,21.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,7.20,3500,9.74
747,Charlie Villanueva,3500,PF,4.76,5.00,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,0.00,3500,4.76
1997,Tony Snell,3500,SG,11.72,21.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,8.60,3500,11.72
2042,Darrell Arthur,3500,PF,7.67,12.67,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,13.10,3500,7.67
1978,Jon Leuer,3500,PF,14.64,15.00,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,15.00,3600,14.64
702,Patrick Beverley,3500,PG,5.60,9.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,null,3500,5.60
2000,Jonas Jerebko,3500,PF,4.82,7.67,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,5.90,3500,4.82
10108,Noah Vonleh,3500,PF,13.85,25.00,POR,2015-11-20,LAC,POR,2015-11-20 220000,7.60,3500,13.85
2500,Bismack Biyombo,3500,C,15.84,18.00,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,7.80,3900,15.84
1894,Kyle Singler,3500,SF,5.90,16.33,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,5.40,3500,5.90
1193502,Larry Nance Jr.,3500,PF,11.32,16.67,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,5.40,3500,11.32
715,Omer Asik,3500,C,16.98,22.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,8.40,3500,16.98
1928,Terrence Ross,3500,SG,0.00,0.00,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,9.20,3500,0.00
1994,Nick Collison,3500,PF,11.98,15.67,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,18.90,3500,11.98
3885,Derrick Williams,3500,PF,9.23,8.67,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,14.60,3500,9.23
1828,D.J. Augustin,3500,PG,11.98,17.67,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,1.00,3500,11.98
762,Wayne Ellington,3500,SG,9.15,16.67,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,3.00,3500,9.15
19069,E'Twaun Moore,3500,PG,13.85,25.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,15.00,3500,13.85
748,Kyle Anderson,3500,SF,10.47,15.00,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,8.90,3500,10.47
721,Maurice Harkless,3500,SF,13.97,22.00,POR,2015-11-20,LAC,POR,2015-11-20 220000,1.20,3500,13.97
1862,Vince Carter,3500,SF,0.00,0.00,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,15.60,3500,0.00
2681,Anthony Morrow,3500,SG,12.89,22.00,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,8.60,3500,12.89
10487,Sergey Karasev,3500,SF,0.00,0.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,7.50,3500,0.00
3897,Archie Goodwin,3500,PG,7.23,11.00,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,0.00,3600,7.23,0;
