PlayerId,PlayerName,Salary,PlayerPos,Default_Proj_Score,Proj_Mins,Team,Period,AwayTeam,HomeTeam,DateTime,Actual_Pts,Last_Sal,Proj_Score
1843,Deron Williams,6300,PG,24.03,31.00,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,45.20,6200,24.03
1911,Enes Kanter,6300,C,26.01,21.33,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,25.10,6000,26.01
1825,Thaddeus Young,6300,PF,31.86,34.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,31.50,5800,31.86
691,Eric Gordon,6200,SG,26.88,35.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,18.20,6000,26.88
1872,Jared Sullinger,6100,PF,36.28,28.67,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,19.30,5900,36.28
755,Jordan Clarkson,6000,PG,26.56,29.00,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,22.30,6000,26.56
701,Trevor Ariza,6000,SF,20.16,33.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,29.30,5900,20.16
1896,Jonas Valanciunas,6000,C,28.92,27.67,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,8.60,6100,28.92
1891,Marcus Morris,6000,SF,25.50,35.00,DET,2015-11-20,DET,MIN,2015-11-20 200000,33.20,6100,25.50
1193534,Kristaps Porzingis,6000,PF,26.87,27.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,17.20,5400,26.87
1918,DeMarre Carroll,5900,SF,22.60,36.33,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,26.40,5800,22.60
751,Al-Farouq Aminu,5800,SF,24.99,31.00,POR,2015-11-20,LAC,POR,2015-11-20 220000,33.90,5600,24.99
1193476,Emmanuel Mudiay,5800,PG,25.23,31.00,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,39.10,5900,25.23
2649,Zach LaVine,5800,SG,22.76,24.67,MIN,2015-11-20,DET,MIN,2015-11-20 200000,20.60,5900,22.76
1981,Zaza Pachulia,5700,C,24.88,30.00,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,38.40,5600,24.88
1871,Avery Bradley,5700,SG,18.85,25.67,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,28.60,5500,18.85
697,Terrence Jones,5700,PF,25.74,30.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,17.30,5900,25.74
746,Ishmael Smith,5600,PG,19.38,22.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,39.30,5400,19.38
695,Jrue Holiday,5600,PG,23.33,25.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,24.10,5600,23.33
1834,Ty Lawson,5600,PG,15.24,25.33,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,20.20,6000,15.24
