
1841,Joe Johnson,6400,SG,35.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,18,6.90,6300,26.71
690,Ryan Anderson,6400,PF,34.33,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,33,36.40,5900,29.20
1826,Klay Thompson,6400,SG,32.00,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,36,24.10,6400,26.21
1843,Deron Williams,6300,PG,31.00,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,35,45.20,6200,24.03
1911,Enes Kanter,6300,C,21.33,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,24,25.10,6000,26.01
1825,Thaddeus Young,6300,PF,34.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,28,31.50,5800,31.86
691,Eric Gordon,6200,SG,35.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,34,18.20,6000,26.88
1872,Jared Sullinger,6100,PF,28.67,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,19,19.30,5900,36.28
701,Trevor Ariza,6000,SF,33.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,35,29.30,5900,20.16
1896,Jonas Valanciunas,6000,C,27.67,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,17,8.60,6100,28.92
755,Jordan Clarkson,6000,PG,29.00,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,32,22.30,6000,26.56
1193534,Kristaps Porzingis,6000,PF,27.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,25,17.20,5400,26.87
1891,Marcus Morris,6000,SF,35.00,DET,2015-11-20,DET,MIN,2015-11-20 200000,35,33.20,6100,25.50
1918,DeMarre Carroll,5900,SF,36.33,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,33,26.40,5800,22.60
751,Al-Farouq Aminu,5800,SF,31.00,POR,2015-11-20,LAC,POR,2015-11-20 220000,34,33.90,5600,24.99
1193476,Emmanuel Mudiay,5800,PG,31.00,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,29,39.10,5900,25.23
2649,Zach LaVine,5800,SG,24.67,MIN,2015-11-20,DET,MIN,2015-11-20 200000,26,20.60,5900,22.76
1871,Avery Bradley,5700,SG,25.67,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,25,28.60,5500,18.85
697,Terrence Jones,5700,PF,30.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,28,17.30,5900,25.74
1981,Zaza Pachulia,5700,C,30.00,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,38,38.40,5600,24.88
695,Jrue Holiday,5600,PG,25.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,23,24.10,5600,23.33
746,Ishmael Smith,5600,PG,22.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,30,39.30,5400,19.38
1834,Ty Lawson,5600,PG,25.33,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,16,20.20,6000,15.24
1998,Marcus Smart,5500,PG,29.33,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,21,15.40,5800,22.66
757,Robert Covington,5500,SF,25.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,23,17.10,5600,22.43
730,Julius Randle,5500,PF,28.33,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,29,34.90,5800,23.15
1972,Mason Plumlee,5500,C,29.67,POR,2015-11-20,LAC,POR,2015-11-20 220000,28,34.50,5400,25.71
1869,Alec Burks,5400,SG,32.00,UTA,2015-11-20,UTA,DAL,2015-11-20 203000,30,22.00,5500,27.49
3878,Nikola Mirotic,5400,SF,23.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,35,38.50,5400,17.09
1886,Roy Hibbert,5400,C,29.33,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,26,23.10,5400,25.74
711,Tyson Chandler,5400,C,25.33,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,18,5.80,5500,21.48
1850,Markieff Morris,5400,PF,32.00,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,20,17.00,5500,30.91
1962,Andrew Bogut,5200,C,23.00,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,18,17.80,5200,25.23
754,Jae Crowder,5200,SF,31.00,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,28,33.00,5100,24.86
2020,Will Barton,5200,SG,25.00,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,25,25.80,5000,26.60
1854,Evan Turner,5200,SF,21.67,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,25,28.50,5400,18.71
685,Tony Parker,5200,PG,28.00,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,31,25.50,4900,19.79
1889,Amir Johnson,5100,C,26.33,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,20,19.40,5200,23.97
692,Chandler Parsons,5100,SF,19.33,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,22,12.40,5300,14.56
1881,Harrison Barnes,5100,SF,32.33,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,31,33.30,5100,24.49
1193556,T.J. McConnell,5100,PG,31.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,27,23.40,5100,25.29
1915,Kentavious Caldwell-Pope,5000,SG,35.33,DET,2015-11-20,DET,MIN,2015-11-20 200000,38,14.20,5100,23.89
1193504,D'Angelo Russell,5000,PG,23.33,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,33,28.00,5100,19.22
1851,Trey Burke,5000,PG,25.00,UTA,2015-11-20,UTA,DAL,2015-11-20 203000,22,15.40,5100,22.68
2410,Marvin Williams,5000,PF,33.00,CHA,2015-11-20,PHI,CHA,2015-11-20 190000,28,26.80,5200,25.10
1867,Wesley Matthews,4900,SG,31.00,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,32,11.70,4800,20.24
1908,Louis Williams,4800,SG,25.00,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,15,14.50,5100,18.58
1955,Andre Iguodala,4700,SF,32.67,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,28,20.50,4700,22.77
700,Jeremy Lin,4700,PG,30.00,CHA,2015-11-20,PHI,CHA,2015-11-20 190000,29,17.60,4600,24.64
1866,Joakim Noah,4700,C,21.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,17,6.40,4800,16.04
316952,Langston Galloway,4700,SG,27.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,19,18.40,4700,22.62
2049,Rodney Hood,4700,SG,28.00,UTA,2015-11-20,UTA,DAL,2015-11-20 203000,36,19.20,4600,21.56
694,Jameer Nelson,4700,PG,23.67,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,24,14.90,4600,18.61
2603,Jeremy Lamb,4600,SG,28.00,CHA,2015-11-20,PHI,CHA,2015-11-20 190000,30,20.60,4600,25.57
1845,Kevin Martin,4600,SG,26.00,MIN,2015-11-20,DET,MIN,2015-11-20 200000,21,17.90,4700,19.92
2587,J.J. Redick,4600,SG,0.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,25,14.20,4600,0.00
1830,Arron Afflalo,4600,SG,30.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,29,14.90,4500,16.25
2044,Dwight Powell,4500,PF,24.33,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,21,23.30,4600,23.40
2558,Dion Waiters,4500,SG,26.00,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,30,24.30,4700,18.46
1873,Ersan Ilyasova,4500,PF,28.33,DET,2015-11-20,DET,MIN,2015-11-20 200000,19,12.20,4200,19.25
1897,Jose Calderon,4400,PG,28.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,29,29.30,4400,17.61
731,Cory Joseph,4400,PG,24.67,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,22,20.20,4300,20.59
1923,Mario Chalmers,4400,PG,26.00,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,16,21.30,4000,18.37
2571,Jamal Crawford,4400,SG,23.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,26,21.70,4400,17.80
3871,Jerami Grant,4400,PF,29.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,24,22.50,4300,22.52
1936,Luis Scola,4400,PF,25.33,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,24,18.50,4300,22.32
1884,Taj Gibson,4400,PF,26.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,16,7.20,4500,19.40
3800,P.J. Tucker,4400,SF,26.67,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,24,13.80,4200,18.13
1931,Robin Lopez,4400,C,29.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,32,18.40,4500,20.94
744,Clint Capela,4300,C,11.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,12,11.40,4400,12.22
1909,Marcus Thornton,4300,SG,18.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,21,10.60,4500,14.18
2006,Festus Ezeli,4300,C,17.00,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,23,23.30,4300,18.09
1846,Jeff Green,4300,SF,32.67,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,28,21.70,3800,22.55
2678,Shane Larkin,4200,PG,12.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,29,24.10,4100,10.02
717,Ed Davis,4200,PF,18.67,POR,2015-11-20,LAC,POR,2015-11-20 220000,30,35.00,4400,16.43
6528,David Lee,4200,PF,11.00,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,16,20.10,4200,10.17
